date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,NZD,SEK,KRW,SGD,NOK,MXN,INR,RUB,ZAR,TRY,BRL,TWD,DKK,PLN,THB,IDR,HUF,CZK,ILS,CLP,PHP,AED,COP,SAR,MYR,RON
8/8/2018,0.864995485,111.4203489,0.774396484,1.347089079,1.305900186,0.995325178,6.847170504,7.851330217,1.485387723,8.921041457,1117.626548,1.363809297,8.199737802,18.45969144,68.61577867,63.52594143,13.33000423,5.270303259,3.75494083,30.52512117,6.426026759,3.676719246,33.29874684,14427.40431,275.9803241,22.06021155,3.68002792,643.1178685,52.98624524,3.672497932,2899.082372,3.749999631,4.076432655,4.007500414
8/9/2018,0.864394895,110.9666705,0.778485417,1.346459005,1.302024067,0.993196359,6.849402437,7.851006675,1.495773684,8.964345449,1117.134616,1.363403262,8.219830183,18.48013345,68.48490416,65.61350233,13.40831623,5.311975445,3.768012943,30.6288124,6.423295225,3.679968489,33.30644903,14441.11481,275.4110245,22.04534023,3.678830867,645.2016035,53.1317536,3.672497932,2912.808435,3.749999631,4.075747825,4.001779534
8/10/2018,0.871286122,111.1736778,0.78164802,1.356575881,1.304641791,0.994068243,6.832547191,7.851455007,1.515935938,9.022218544,1123.422006,1.3677968,8.321183102,18.73505126,68.9007564,66.59758647,13.69649034,5.557557395,3.800894068,30.64122102,6.472662711,3.720071115,33.34064129,14541.8367,278.5400038,22.20504861,3.691719858,647.1050557,53.16583983,3.672497932,2915.016862,3.749999631,4.075571141,4.04345309
8/11/2018,0.879433783,110.9370536,0.785304609,1.366967049,1.314634386,0.995149949,6.858216994,7.852013311,1.521610917,9.134058324,1130.808726,1.37317329,8.358864788,18.90504621,69.04179966,67.72832398,14.0830053,6.429782551,3.860911182,30.77409736,6.532878818,3.771615365,33.40784623,14493.15364,283.2291874,22.46379409,3.714683185,654.174515,53.31451945,3.672497932,2946.091024,3.749999631,4.085551538,4.08976042
8/12/2018,0.87995787,110.8845693,0.785309428,1.368880983,1.314139221,0.995182707,6.851231597,7.852028907,1.521792594,9.152263902,1130.021949,1.373526065,8.363233346,18.96873425,68.91132283,67.77766353,14.12485999,6.432294925,3.858327346,30.78264338,6.535105775,3.773347009,33.43786526,14475.02168,284.6584695,22.47942415,3.71630227,654.1273502,53.32059741,3.672497932,2945.971689,3.749999631,4.085931727,4.09903793
8/13/2018,0.881657253,110.7081435,0.786003838,1.372250476,1.314975257,0.994657627,6.860372347,7.851206021,1.52077559,9.156725071,1132.38735,1.373808668,8.371809999,19.08406891,69.03026705,67.99272973,14.24857787,6.831126803,3.867310047,30.79936953,6.545264505,3.775118904,33.41088393,14477.75086,283.8594649,22.53491909,3.717767241,654.1922941,53.32358177,3.672497932,2946.84752,3.749999631,4.086812726,4.091291844
8/14/2018,0.881045543,110.7153214,0.785767221,1.376497802,1.313239323,0.9934189,6.905716584,7.85128063,1.5231586,9.135106154,1137.26567,1.376299455,8.370644724,19.1507494,69.98367442,67.53431217,14.4291516,6.958221975,3.883557063,30.90303516,6.540782494,3.782566723,33.49068031,14601.00449,283.5465526,22.59542067,3.695087077,660.3789702,53.72312829,3.672497932,3008.744069,3.749999631,4.098459745,4.091344662
8/15/2018,0.885496079,111.3232008,0.788537998,1.38200916,1.305746127,0.994216219,6.900292037,7.851565703,1.523954139,9.16041994,1128.490538,1.378029334,8.415986765,18.8943045,69.96216852,66.59747354,14.28282248,6.380093993,3.866238598,30.84959767,6.573595471,3.801758077,33.39340411,14647.82105,284.7492947,22.66109968,3.682204361,664.4056704,53.60895486,3.672497932,3017.068364,3.749999631,4.099055322,4.108373216
8/16/2018,0.885906805,110.6484635,0.790204957,1.382691339,1.314576458,0.993499272,6.92532993,7.851175213,1.527237003,9.226849604,1138.128622,1.380163859,8.462211637,19.18980201,70.018488,67.36540688,14.6059433,5.986200926,3.901917387,30.87835695,6.57707756,3.820234512,33.43896209,14600.20239,286.3813717,22.7203746,3.684696105,667.698445,53.66015118,3.672497932,3054.435105,3.749999631,4.104523383,4.11813725
8/17/2018,0.883395312,111.0722648,0.788917499,1.377731568,1.316014914,0.997385787,6.912424907,7.851371385,1.520900842,9.208585862,1127.927854,1.375751799,8.481707073,19.02235999,70.03160531,66.8594347,14.72426195,5.866209972,3.905047537,30.79199406,6.56038037,3.795134759,33.29722686,14607.10029,285.0600142,22.63420996,3.671025285,669.4914766,53.55124954,3.672497932,3025.528348,3.749999631,4.105616758,4.099743343
8/18/2018,0.877561036,110.5707653,0.786315153,1.366519822,1.306772024,0.995383966,6.889408252,7.852352939,1.508785187,9.165193717,1120.056535,1.371146392,8.447346836,18.88504629,69.85295287,67.02417767,14.64810924,6.015957684,3.910864521,30.7567624,6.519990754,3.761236194,33.25595501,14576.11304,282.3067656,22.45569566,3.656813867,666.9205034,53.41228501,3.672497932,3032.700211,3.749999631,4.103209294,4.072879417
8/19/2018,0.877229916,110.5749278,0.786579737,1.366387957,1.306522548,0.995844701,6.888890902,7.850985874,1.508410665,9.166468343,1120.262835,1.371032405,8.453494478,18.90169923,69.86575339,66.99702081,14.64324771,6.015950727,3.91298456,30.78228846,6.522330485,3.762429728,33.27306052,14610.54652,282.2136257,22.46493487,3.66090056,667.7001076,53.41229865,3.672497932,3034.979375,3.749999631,4.107944873,4.072491045
8/20/2018,0.878050747,110.5524862,0.786713391,1.368364178,1.306050122,0.9953367,6.891882566,7.851517176,1.511465011,9.169106577,1119.989238,1.37089056,8.454014936,18.89289624,69.79739694,67.17816017,14.75735633,6.010689382,3.911710644,30.74246764,6.522545743,3.771636043,33.27831874,14587.35502,282.7107807,22.45133117,3.664176105,667.6723507,53.45074106,3.672497932,3036.752518,3.749999631,4.103600814,4.074762277
8/21/2018,0.873751327,110.0135695,0.783098749,1.363093106,1.3041864,0.990462383,6.868666727,7.851131634,1.507895439,9.16091515,1118.337082,1.369050621,8.438619222,19.01133818,69.78305373,66.99100722,14.51543723,6.100423278,3.966150718,30.76186234,6.492962574,3.757640788,33.03377048,14571.00791,282.001701,22.40582058,3.65527201,668.5242127,53.44414493,3.672497932,3035.962334,3.749999631,4.099626839,4.047878821
8/22/2018,0.867158069,110.2223732,0.776874577,1.358791414,1.303527899,0.98447217,6.859397228,7.851016833,1.493574363,9.1056572,1117.509997,1.365528356,8.40185373,18.94668193,69.84434775,67.31967655,14.39996246,6.079708381,4.050236974,30.68234078,6.446256819,3.716601406,32.74038465,14579.69679,279.8814953,22.23358848,3.643783167,664.0078848,53.50376979,3.672497932,2981.267592,3.749999631,4.098350986,4.014369686
8/23/2018,0.866299098,110.6588066,0.776846904,1.363199794,1.300745332,0.983299982,6.856750565,7.851247604,1.494767917,9.077664468,1119.06736,1.367556126,8.351165877,18.76852155,69.84610498,68.0229807,14.17674909,6.031633952,4.041071404,30.70734969,6.44048859,3.692542383,32.8109942,14578.36032,278.8246213,22.20619383,3.63057878,662.0790066,53.5070536,3.672497932,2963.4308,3.749999631,4.09610435,4.013200146
8/24/2018,0.869799907,111.462635,0.782822459,1.380487634,1.309965374,0.986371874,6.892756112,7.851623698,1.511224745,9.156715997,1127.815648,1.373978887,8.387642571,19.01978692,70.2602107,68.23384296,14.40215347,6.097642667,4.115463917,30.85609983,6.466077036,3.724704862,32.96909207,14661.12051,281.2373551,22.29413735,3.647187385,669.7875852,53.63943629,3.672497932,2990.604263,3.749999631,4.105354701,4.019978691
8/25/2018,0.862890187,111.3128986,0.780944905,1.365455008,1.302800048,0.983233589,6.819193861,7.853536499,1.498741576,9.137983485,1114.458961,1.365311296,8.328694121,18.90668535,69.81771772,67.09069176,14.24840885,6.014401183,4.104863161,30.70181604,6.419456972,3.688576118,32.67106243,14578.63319,278.5066454,22.15728191,3.628084124,660.7975193,53.44972801,3.672497932,2976.471044,3.749999631,4.093192337,3.991743631
8/26/2018,0.863115983,111.2934549,0.780639753,1.364268603,1.302137394,0.983289507,6.817005329,7.851382463,1.4968313,9.152711736,1115.014234,1.365337915,8.3296969,18.96440812,69.97785437,67.4049176,14.24745575,6.014926765,4.105459545,30.71010658,6.419388851,3.690136822,32.72727942,14642.51823,279.7606016,22.15478094,3.619662838,660.6673758,53.49382561,3.672497932,2959.223598,3.749999631,4.108977199,3.99565585
8/27/2018,0.861443509,111.3652363,0.779615014,1.361699832,1.301001589,0.982259781,6.822678105,7.852104091,1.494073068,9.117491907,1113.030703,1.364354739,8.315072946,18.78392203,69.79860431,67.23211793,14.2479112,5.987161759,4.105202258,30.70520443,6.405984792,3.678768984,32.66121957,14576.77912,278.0523537,22.1144485,3.627326311,660.9185134,53.47960421,3.672497932,2961.156614,3.749999631,4.094065449,3.986227088
8/28/2018,0.858777316,111.216907,0.777401804,1.360955715,1.296379757,0.979481195,6.827721852,7.851834452,1.493636,9.105476299,1109.694932,1.362124486,8.325133797,18.80460409,69.96589791,67.49908921,14.16637205,6.169035137,4.079163275,30.71357828,6.385943644,3.661967811,32.59808515,14555.40993,277.4021388,22.00135477,3.632684346,659.2157928,53.4155395,3.672497932,2944.596222,3.749999631,4.097248399,3.977601693
8/29/2018,0.858168097,111.2332578,0.779200352,1.362576398,1.293070042,0.976747296,6.817918423,7.852057034,1.491747412,9.148447672,1108.346997,1.364523106,8.343334632,19.07410523,70.34849934,67.82547931,14.21083294,6.271036364,4.135404176,30.632837,6.380464225,3.659289405,32.69420129,14659.37827,277.2859621,21.98524595,3.628682492,662.9212171,53.42491887,3.672497932,2991.811412,3.749999631,4.106543622,3.973951007
8/30/2018,0.8567353,111.771195,0.768916454,1.367625773,1.290464336,0.970544726,6.832798079,7.850337807,1.491464207,9.146420824,1110.05834,1.364289275,8.330592058,18.94202828,70.58677134,67.95880141,14.35205763,6.478977375,4.107120177,30.64967395,6.370743329,3.667977885,32.75637497,14623.28995,278.295051,21.97732068,3.609752978,667.7505974,53.50965526,3.672497932,3003.596831,3.749999631,4.126465801,3.960237669
